City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised,13353.92218,,
San Francisco,1/28/2011,6.10362E+11,Online Communities,Worcester County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Millville,MA,San Francisco Bay Area,142,1,3237,3.237,,14.2
West Henrietta,1/28/2011,3.5694E+11,Medical Lab Instruments/Test Kits,Worcester County,Medical Devices and Equipment,"Rochester, NY",Mid-Atlantic,Product Development,Northborough,MA,,546,1,14918,14.918,,54.6
Pittsburgh,1/28/2011,65304753922,Drug Development Technologies,Worcester County,Biopharmaceuticals,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,Northbridge,MA,,527,1,6262,6.262,,52.7
Plymouth,1/28/2011,1.1298E+11,Drug Development Technologies,Worcester County,Biopharmaceuticals,"Detroit-Warren-Livonia, MI",Midwest East,Product Development,North Brookfield,MA,,298,1,4760,4.76,,29.8
Newark,1/28/2011,85595753900,Therapeutic Devices (Minimally Invasive/Noninvasive),Worcester County,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Grafton,MA,San Francisco Bay Area,730,1,7709,7.709,,73
Sunnyvale,1/28/2011,67886753902,Therapeutic Devices (Invasive),Worcester County,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Oxford,MA,San Francisco Bay Area,386,1,2337,2.337,,38.6
Palo Alto,1/31/2011,6.14692E+11,Data Management Services,Worcester County,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product In Beta Test,Oxford,MA,San Francisco Bay Area,1121,1,11386,11.386,,112.1
Boulder,1/31/2011,6.06185E+11,Business Support Services: Other,Worcester County,Business Support Services,"Boulder, CO",Mountain,Generating Revenue,Princeton,MA,,224,1,3438,3.438,,22.4
Pleasanton,1/31/2011,71052753193,Customer Relationship Management,Worcester County,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Leicester,MA,San Francisco Bay Area,35,1,2299,2.299,,3.5
Austin,1/31/2011,92532753570,Advertising/Marketing,Worcester County,Business Support Services,"Austin-Round Rock, TX",South Central,Generating Revenue,Shrewsbury,MA,Austin Metro,1401,1,36269,36.269,,140.1
South Jordan,1/31/2011,71888754257,Incubators/Business Development,Worcester County,Business Support Services,"Salt Lake City, UT",Mountain,Profitable,Southbridge,MA,,3085,1,16858,16.858,,308.5
Glen Mills,1/31/2011,6.11999E+11,Home Improvement,Worcester County,Household and Office Goods,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Product Development,Grafton,MA,,336,1,4477,4.477,,33.6
Chicago,1/31/2011,6.11926E+11,Educational/Training Media and Services,Worcester County,Media and Content,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Product Development,Spencer,MA,Chicago Metro,1433,1,11856,11.856,,143.3
San Francisco,1/31/2011,6.117E+11,Entertainment,Worcester County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Sterling,MA,San Francisco Bay Area,477,1,8000,8,,47.7
New York,1/31/2011,1.82682E+11,Online Communities,Worcester County,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Sturbridge,MA,New York Metro,259,1,6006,6.006,,25.9
Dripping Springs,1/31/2011,6.1239E+11,Exploration Services/Equipment,Worcester County,Non-Renewable Energy,"Austin-Round Rock, TX",South Central,Product Development,Upton,MA,Austin Metro,373,1,7706,7.706,,37.3
Pleasanton,1/31/2011,83572753615,Drug Development Technologies,Worcester County,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Uxbridge,MA,San Francisco Bay Area,1136,1,13864,13.864,,113.6
Sunnyvale,1/31/2011,1.14079E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Worcester County,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Dudley,MA,San Francisco Bay Area,820,1,11637,11.637,,82
Atlanta,1/31/2011,60450759202,Business Applications Software,Worcester County,Software,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,Westborough,MA,,942,1,18836,18.836,,94.2
Waltham,1/31/2011,6.11962E+11,Database Software,Worcester County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,West Boylston,MA,Boston Metro,430,1,7639,7.639,,43
Palo Alto,1/31/2011,6.13525E+11,Multimedia/Streaming Software,Worcester County,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,West Brookfield,MA,San Francisco Bay Area,359,1,4661,4.661,,35.9
San Francisco,1/31/2011,6.11726E+11,Communications Software,Worcester County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,Northbridge,MA,San Francisco Bay Area,825,1,9864,9.864,,82.5
Atlanta,1/31/2011,3.54648E+11,Business Applications Software,Worcester County,Software,"Atlanta-Sandy Springs-Marietta, GA",South East,Profitable,Sutton,MA,,194,1,9297,9.297,,19.4
Marina del Rey,1/31/2011,1.10951E+11,Communications Software,Worcester County,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Worcester,MA,Los Angeles Metro,2931,1,24166,24.166,,293.1
Arlington,1/31/2011,1.14377E+11,Educational/Training Software,Worcester County,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Worcester,MA,Potomac,4516,1,19981,19.981,,451.6
San Francisco,1/31/2011,6.05047E+11,Business Applications Software,Worcester County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Worcester,MA,San Francisco Bay Area,7219,1,36772,36.772,,721.9
Woodbridge,1/31/2011,6.11997E+11,Recreational/Home Software,Worcester County,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,Worcester,MA,New York Metro,7591,1,28742,28.742,,759.1
San Francisco,1/31/2011,6.12784E+11,Recreational/Home Software,Worcester County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product In Beta Test,Worcester,MA,San Francisco Bay Area,1661,1,19375,19.375,,166.1
Kansas City,2/1/2011,81662753750,Lending,Worcester County,Financial Institutions and Services,"Kansas City, MO-KS",Midwest Central,Generating Revenue,Worcester,MA,,1439,1,8698,8.698,,143.9
San Diego,2/1/2011,1.00138E+11,Business to Business Marketplaces,Worcester County,Business Support Services,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,Worcester,MA,San Diego Metro,4185,1,20714,20.714,,418.5
Los Angeles,2/1/2011,6.11733E+11,Entertainment,Worcester County,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Worcester,MA,Los Angeles Metro,6373,1,23438,23.438,,637.3
Cambridge,2/1/2011,6.12549E+11,Entertainment,Worcester County,Consumer Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Leicester,MA,Boston Metro,133,1,2451,2.451,,13.3
Peachtree City,2/1/2011,62156754054,Therapeutic Devices (Invasive),Worcester County,Medical Devices and Equipment,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,Paxton,MA,,203,1,4845,4.845,,20.3
Sunnyvale,2/1/2011,65516754039,Therapeutic Devices (Minimally Invasive/Noninvasive),Middlesex County,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Pre-Clinical Trials,Framingham,MA,San Francisco Bay Area,1630,1,32098,32.098,,163
San Jose,2/1/2011,95724753878,Materials and Chemicals: Other,Middlesex County,Materials and Chemicals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Acton,MA,San Francisco Bay Area,838,1,22680,22.68,,83.8
Chelmsford,2/1/2011,66425758205,Business Applications Software,Middlesex County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Bedford,MA,Boston Metro,348,1,14031,14.031,,34.8
Vancouver,2/1/2011,63267761468,Internet Service Providers,Worcester County,Communications and Networking,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Bolton,MA,,72,1,5167,5.167,,7.2
Nashua,2/2/2011,6.13192E+11,Data Management Services,Middlesex County,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Carlisle,MA,,83,1,5160,5.16,,8.3
Santa Monica,2/2/2011,6.11732E+11,Advertising/Marketing,Middlesex County,Business Support Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Profitable,Concord,MA,Los Angeles Metro,1088,1,19383,19.383,,108.8
Mountain View,2/2/2011,72730754827,Advertising/Marketing,Middlesex County,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Holliston,MA,San Francisco Bay Area,209,1,14480,14.48,,20.9
Reston,2/2/2011,3.55916E+11,Project/Document Collaboration,Worcester County,Business Support Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Hopedale,MA,Potomac,250,1,5955,5.955,,25
New York,2/2/2011,6.11938E+11,Shopping Facilitators,Middlesex County,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Hopkinton,MA,New York Metro,250,1,16720,16.72,,25
New York,2/2/2011,6.11896E+11,Search Portals,Middlesex County,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product In Beta Test,Hudson,MA,New York Metro,1174,1,19843,19.843,,117.4
San Francisco,2/2/2011,6.11779E+11,Entertainment,Middlesex County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Marlborough,MA,San Francisco Bay Area,2553,1,39771,39.771,,255.3
San Francisco,2/2/2011,93251754326,Entertainment,Middlesex County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Maynard,MA,San Francisco Bay Area,848,1,10560,10.56,,84.8
San Francisco,2/2/2011,1.14015E+11,Entertainment,Worcester County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Mendon,MA,San Francisco Bay Area,32,1,5995,5.995,,3.2
Bedford,2/2/2011,1.11759E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Worcester County,Medical Devices and Equipment,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Phase 2,Milford,MA,Boston Metro,2244,1,28694,28.694,,224.4
Cambridge,2/2/2011,3.58384E+11,Business Applications Software,Middlesex County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Natick,MA,Boston Metro,1240,1,35715,35.715,,124
Morgan Hill,2/2/2011,55088754112,Application-Specific Integrated Circuits,Middlesex County,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Sherborn,MA,San Francisco Bay Area,179,1,4302,4.302,,17.9
Seattle,2/2/2011,1.83326E+11,Network/Systems Management Software,Worcester County,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Southborough,MA,Seattle Metro,453,1,9520,9.52,,45.3
Mountain View,2/2/2011,6.11788E+11,Software: Other,Middlesex County,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Lincoln,MA,San Francisco Bay Area,163,1,4791,4.791,,16.3
Atlanta,2/3/2011,6.11879E+11,Business Support Services: Other,Middlesex County,Business Support Services,"Atlanta-Sandy Springs-Marietta, GA",South East,Startup,Stow,MA,,310,1,7061,7.061,,31
Oakland,2/3/2011,73706753957,Procurement/Supply Chain,Middlesex County,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,Sudbury,MA,San Francisco Bay Area,576,1,18697,18.697,,57.6
Cambridge,2/3/2011,6.11917E+11,Data Management Services,Middlesex County,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Wayland,MA,Boston Metro,414,1,13850,13.85,,41.4
San Francisco,2/3/2011,6.11796E+11,Entertainment,Middlesex County,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Woburn,MA,San Francisco Bay Area,2347,1,40375,40.375,,234.7
San Mateo,2/3/2011,3.59973E+11,Educational/Training Media and Services,Middlesex County,Media and Content,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Burlington,MA,San Francisco Bay Area,1041,1,26103,26.103,,104.1
New York,2/3/2011,6.11806E+11,Movie/Music Producers and Distributors,Essex County,Media and Content,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,Andover,MA,New York Metro,1512,1,35375,35.375,,151.2
Washington,2/3/2011,6.11899E+11,Recreational/Home Software,Middlesex County,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Billerica,MA,Potomac,1283,1,32348,32.348,,128.3
San Francisco,2/3/2011,6.11735E+11,Vertical Market Applications Software,Middlesex County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Chelmsford,MA,San Francisco Bay Area,826,1,25961,25.961,,82.6
North Billerica,2/3/2011,1.05613E+11,Vertical Market Applications Software,Middlesex County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Profitable,Dracut,MA,Boston Metro,2221,1,30948,30.948,,222.1
Cambridge,2/4/2011,3.53474E+11,Customer Relationship Management,Middlesex County,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Dunstable,MA,Boston Metro,70,1,3337,3.337,,7
Boston,2/4/2011,3.53643E+11,Advertising/Marketing,Essex County,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Haverhill,MA,Boston Metro,3447,1,26524,26.524,,344.7
Seattle,2/4/2011,3.59846E+11,General Business Consulting,Essex County,Business Support Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product In Beta Test,Haverhill,MA,Seattle Metro,3197,1,23372,23.372,,319.7
Indianapolis,2/4/2011,1.1195E+11,Consumer Information Services: Other,Essex County,Consumer Information Services,"Indianapolis-Carmel, IN",Midwest East,Generating Revenue,Georgetown,MA,,292,1,8569,8.569,,29.2
Beaverton,2/4/2011,76880754108,Diagnostic Equipment (Not Imaging),Essex County,Medical Devices and Equipment,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Haverhill,MA,,1140,1,13047,13.047,,114
Durham,2/4/2011,62726754030,Biotechnology Therapeutics,Essex County,Biopharmaceuticals,"Durham-Chapel Hill, NC",South East,Clinical Trials - Phase 2,Lawrence,MA,,12324,1,48295,48.295,,1232.4
Concord,2/4/2011,3.53698E+11,Diagnostic Imaging Equipment,Essex County,Medical Devices and Equipment,"Boston-Cambridge-Quincy, MA-NH",New England,Pre-Clinical Trials,Lawrence,MA,Boston Metro,5086,1,25942,25.942,,508.6
San Mateo,2/4/2011,95572757845,Communications Software,Essex County,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Methuen,MA,San Francisco Bay Area,4636,1,49587,49.587,,463.6
Chicago,2/4/2011,6.11745E+11,Business Applications Software,Essex County,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Startup,North Andover,MA,Chicago Metro,1479,1,30170,30.17,,147.9
Palo Alto,2/7/2011,87759753720,Entertainment,Middlesex County,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Lowell,MA,San Francisco Bay Area,4189,1,16890,16.89,,418.9
Burlingame,2/7/2011,81506753899,Clothing/Accessory Retailers,Middlesex County,Retailers,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Lowell,MA,San Francisco Bay Area,5935,1,29849,29.849,,593.5
Saratoga,2/7/2011,6.12435E+11,Biopharmaceuticals: Other,Middlesex County,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Lowell,MA,San Francisco Bay Area,6961,1,34756,34.756,,696.1
Roanoke,2/7/2011,6.11813E+11,Therapeutic Devices (Invasive),Middlesex County,Medical Devices and Equipment,"Roanoke, VA",Mid-Atlantic,Generating Revenue,Lowell,MA,,6691,1,29561,29.561,,669.1
Mountain View,2/7/2011,6.03378E+11,Memory Systems,Essex County,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Merrimac,MA,San Francisco Bay Area,361,1,6752,6.752,,36.1
Natick,2/7/2011,6.12042E+11,Business Applications Software,Middlesex County,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Billerica,MA,Boston Metro,496,1,10676,10.676,,49.6
Plano,2/7/2011,6.11937E+11,Wireless Communications Equipment,Middlesex County,Communications and Networking,"Dallas-Fort Worth-Arlington, TX",South Central,Product Development,Chelmsford,MA,Dallas-Fort Worth,434,1,9106,9.106,,43.4
Broomfield,2/7/2011,54797753769,Wireless Telecommunications Service Providers,Middlesex County,Communications and Networking,"Denver-Aurora-Broomfield, CO",Mountain,Profitable,North Reading,MA,,526,1,15598,15.598,,52.6
Mountain View,2/7/2011,1.8258E+11,Wired Communications Equipment,Middlesex County,Communications and Networking,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Profitable,Reading,MA,San Francisco Bay Area,754,1,24894,24.894,,75.4
Boulder,2/8/2011,3.57555E+11,Specialty Foods,Middlesex County,Food and Beverage,"Boulder, CO",Mountain,Generating Revenue,Tewksbury,MA,,1621,1,30433,30.433,,162.1
Carmel,2/8/2011,3.54602E+11,Outpatient Facilities,Middlesex County,Healthcare Services,"Indianapolis-Carmel, IN",Midwest East,Generating Revenue,Tyngsboro,MA,,860,1,12305,12.305,,86
Woodcliff Lake,2/8/2011,67738754249,Pharmaceuticals,Middlesex County,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Wakefield,MA,New York Metro,1112,1,26450,26.45,,111.2
Tigard,2/8/2011,1.83833E+11,General Industrial Machinery,Middlesex County,Machinery and Industrial Goods,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Westford,MA,,552,1,24087,24.087,,55.2
